,y,text,text_pt,contains_url,word_count,keywords_llama32
0,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","A Technopolis planeja desenvolver em etapas uma área não inferior a 100 mil metros quadrados para hospedar empresas que atuam em tecnologias de informática e telecomunicações, afirma o comunicado.",False,29,"Tecnologia, Desenvolvimento, Investimento

*Justificativa:* 
Tecnologia: está diretamente relacionada ao conteúdo do texto, que menciona a Techopolis como um local para hospedar empresas de tecnologias de informática e telecomunicações.
Desenvolvimento: está relacionada ao planejamento da Techopolis para desenvolver uma área para hospedar empresas que atuam na tecnologia
Investimento: está relacionada à ideia do comunicado, que afirma o investimento na Techopolis."
1,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","A Elcoteq, empresa internacional da indústria eletrônica, demitiu dezenas de funcionários de suas instalações em Tallinn; ao contrário das demissões anteriores, a empresa contratou os funcionários de seus escritórios, relatou o jornal Postimees.",False,33,"Demissão, Indústria, Empresarial

*Justificativa:
 * Demissão: está diretamente relacionada ao conteúdo do texto, que menciona a demissão de funcionários da Elcoteq.
 * Indústria: está relacionada à empresa em questão, que é uma empresa internacional da indústria eletrônica.
 * Empresarial: está relacionada ao contexto da demissão e do reajuste dos funcionários, mostrando a natureza da empresa."
2,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Com a nova planta de produção a empresa aumentaria sua capacidade para atender ao aumento esperado de demanda e melhoraria o uso de matérias-primas e, portanto, aumentaria a lucratividade da produção.",False,31,"Produção, Lucratividade, Eficiência

*Justificativa:
    Produção: está diretamente relacionada ao conteúdo do texto, que menciona uma nova planta de produção e seu impacto na capacidade da empresa;
    Lucratividade: está relacionada à ideia de aumento da lucratividade como resultado do investimento em nova planta de produção;
    Eficiência: está relacionada ao objetivo de melhorar o uso de matérias-primas, que é um aspecto crucial para aumentar a eficiência e, consequentemente, a lucratividade."
3,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","De acordo com a estratégia atualizada da empresa para os anos de 2009-2012, a Basware tem como meta um crescimento de vendas líquidas de longo prazo na faixa de 20% -40% com uma margem de lucro operacional de 10% -20% das vendas líquidas.",False,43,"Crescimento, Vendas, Lucratividade 

* Justificativa:
 * Crescimento: está diretamente relacionado ao conteúdo do texto, que menciona a meta da Basware de alcançar um crescimento de vendas líquidas na faixa de 20% -40%.
 * Vendas: está relacionada à ideia de vendas líquidas e ao objetivo da empresa de aumentar sua receita.
 * Lucratividade: está relacionada à meta da Basware de alcançar uma margem de lucro operacional de 10% -20% das vendas líquidas."
4,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"FINANCIAMENTO DO CRESCIMENTO DA ASPOCOMP A Aspocomp está perseguindo agressivamente sua estratégia de crescimento, focando cada vez mais em placas de circuito impresso HDI tecnologicamente mais exigentes.",False,27,"Crescimento, Tecnologia, Investimento

* Justificativa:
* Crescimento: está diretamente relacionada ao conteúdo do texto, que menciona a Aspocomp em uma estratégia de crescimento.
* Tecnologia: está relacionada à ideia de placas de circuito impresso HDI, que são tecnologicamente mais exigentes.
* Investimento: está relacionado à ação da Aspocomp em seguir sua estratégia de crescimento e investir em tecnologias mais avançadas."
5,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","No último trimestre de 2010, as vendas líquidas da Componenta dobraram para EUR131 milhões de EUR76 milhões para o mesmo período do ano anterior, enquanto ela passou para um lucro zero antes de impostos de uma perda antes de impostos de EUR7 milhões.",False,43,"Vendas, Lucro, Impostos

*Justificativa:
  Vendas: está diretamente relacionada ao conteúdo do texto, que menciona a dobrosa das vendas líquidas da Componenta no último trimestre de 2010.
  Lucro: está relacionada à ideia de ganho financeiro, visto o aumento nas vendas e a passagem do lucro zero para um lucro antes de impostos
  Impostos: está relacionada ao contexto econômico e financeiro do texto"
6,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","No terceiro trimestre de 2010, as vendas líquidas aumentaram 5,2% para EUR 205,5 milhões e o lucro operacional de 34,9% para EUR 23,5 milhões.",False,24,"Vendas, Lucro, Operacional

*Justificativa:* 
 * Vendas: está diretamente relacionada ao conteúdo do texto, que menciona as vendas líquidas aumentadas em 5,2% e alcançaram EUR 205,5 milhões| 
 * Lucro: está relacionada à ideia de lucro operacional apresentado no terceiro trimestre de 2010| 
 * Operacional: está relacionada ao fato de que o aumento do lucro foi operacional, ou seja, reflete a eficiência na gestão dos recursos da empresa."
7,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"O lucro operacional aumentou para EUR 13,1 milhões de EUR 8,7 milhões no período correspondente em 2007, representando 7,7% das vendas líquidas.",False,22,"Lucro, Operacional, Aumento

*Justificativa:
    * Lucro: está diretamente relacionada ao conteúdo do texto, que menciona o aumento do lucro operacional;
    * Operacional: está relacionada à área do lucro operacional mencionado no texto;
    * Aumento: está relacionada ao fato de que o lucro operacional aumentou em relação ao período anterior."
8,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","O lucro operacional totalizou EUR 21,1 milhões, acima dos EUR 18,6 milhões em 2007, representando 9,7% das vendas líquidas.",False,19,"Lucro, Operação, Crescimento

*Justificativa:
 * Lucro: está diretamente relacionado ao conteúdo do texto, que menciona o lucro operacional totalizado em EUR 21,1 milhões.
 * Operação: está relacionada à parte de receita da empresa, descrita como lucro operacional.
 * Crescimento: está relacionada ao aumento do lucro operacional em relação a 2007, demonstrando um crescimento na operação da empresa."
9,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,A TeliaSonera TLSN disse que a oferta está em linha com sua estratégia de aumentar sua participação nas participações de negócios principais e fortaleceria a oferta da Eesti Telekom a seus clientes.,False,32,"Telia, Participação, Negócios

*Justificativa:*
* Telia: está diretamente relacionada ao conteúdo do texto, que menciona a TeliaSonera como uma empresa que está apresentando uma oferta de negócios para seus clientes.
* Participação: está relacionada à ideia da TeliaSonera querendo aumentar sua participação em negócios principais.
* Negócios: está relacionado ao contexto geral do texto, que fala sobre a oferta de negócios e o impacto nessa estratégia da empresa."
