,y,text,text_pt,contains_url,word_count,target,predictions
3506,neutral,"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .","Entre outros estoques industriais, a Metso adicionou 0,53 por cento para 40,04 euros, Wartsila B caiu 0,77 por cento para 47,87 euros e Rautaruukki K caiu 1,08 por cento para 37,56 euros.",False,32,1,negative
4721,negative,Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,"As ações da Nokia nos EUA caíram 3,3 por cento, a US $ 12,73 por volta das 1750 GMT.",False,19,0,negative
4562,negative,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .","No primeiro semestre de 2008, o lucro operacional do Banco caiu para EUR 11,8 milhões de EUR 18,9 milhões, enquanto a margem financeira aumentou para EUR 20,9 milhões de EUR 18,8 milhões no primeiro semestre de 2007.",False,37,0,negative
505,neutral,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,O negócio a ser alienado gera vendas líquidas consolidadas de 60 milhões de euros anuais e atualmente conta com cerca de 640 funcionários.,False,23,1,neutral
1898,neutral,"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law .","A Panostaja trata seus parceiros de negociação, como empreendedores que vendem o trabalho de suas vidas e empreendedores iniciantes que buscam uma carreira de forma justa, justa e de acordo com a lei.",False,33,1,neutral
4624,negative,Finnish Bank of +_land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,"O Finnish Bank of + _land informa que seu lucro operacional caiu para EUR 4,9 milhões no terceiro trimestre de 2007, de EUR 5,6 milhões no terceiro trimestre de 2006.",False,30,0,negative
3721,positive,"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex .","Salo, Finlândia, 29 de agosto de 2006 - A Benefon anunciou hoje seus planos para fortalecer ainda mais sua plataforma de tecnologia interna, licenciando a plataforma de software móvel completa, Opna, de seu parceiro de tecnologia de longa data, Pollex.",False,40,2,positive
2236,positive,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,"Espera-se que essas medidas produzam economias de custos anuais de 1,5 milhões de euros a partir de 2007.",False,18,2,positive
3904,neutral,"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .","O valor total do projeto é estimado em mais de 3,0 milhões de euros, US $ 4,4 milhões, dos quais os serviços serão superiores a 2,0 milhões de euros, US $ 2,9 milhões, e as licenças de terceiros, mais de 1,0 milhão de euros, US $ 1,5 milhão.",False,48,1,neutral
4239,negative,The measures result from weak demand in the shipbuilding industry .,As medidas são decorrentes da fraca demanda da indústria naval.,False,10,0,negative
904,positive,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,"As partes também acordaram opções que permitem ao UH implementar extensivamente, posteriormente, também funcionalidades de gestão de recursos humanos.",False,19,2,neutral
2682,neutral,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .","Por meio de sua parceria com a subsidiária dinamarquesa da Finlandesa Paulig, a Puljonki adquiriu uma organização de vendas no mercado europeu.",False,22,1,positive
1433,neutral,"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .","Assim, o balanço do grupo terá cerca de EUR25,8 milhões de goodwill, acrescentou a empresa.",False,15,1,neutral
548,positive,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .","A Marimekko assinou hoje (20 de novembro) um acordo de licença com a rede sueca, pelo qual a Marimekko licenciará alguns de seus padrões populares das décadas de 1950, 1960 e 1970 para a H&M.",False,35,2,positive
1723,positive,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .","A tecnologia GeoSolutions irá alavancar as soluções de GPS da Benefon, fornecendo Tecnologia de Busca Baseada em Localização, uma Plataforma de Comunidades, conteúdo multimídia de localização relevante e um novo e poderoso modelo comercial.",False,34,2,positive
558,positive,It estimates the operating profit to further improve from the third quarter .,Ele estima que o lucro operacional melhore ainda mais a partir do terceiro trimestre.,False,14,2,positive
1717,positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .","O MD Henning Bahr, do Stockmann Gruppen, elogia a tendência, pois as redes ficam mais fortes e seus processos de tomada de decisão mais claros.",False,25,2,positive
2867,neutral,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,"Elisa encomendou à Poyry Telecom Oy da Finlândia um estudo de recepção em algumas das maiores cidades da Estônia, além de Tallinn.",False,22,1,neutral
